"Date","Coin ID","Open","High","Low","Close","Daily Change %","Opportunity Highlight","SMA Short","SMA Long","RSI","Interpretation Notes"
"2025-05-09","bitcoin","101156","103461","101156","103076","1.9","","97123.75","96305.06","77.93","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-09","bitcoin","103156","103163","102419","102419","-0.71","","97523.2","96472.4","73.1","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-09","bitcoin","102431","103890","102403","103787","1.32","","97974.6","96663.42","76.38","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-08","bitcoin","96171","97416","96149","97026","0.89","","95268.65","95600.76","60.2","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","bitcoin","97036","98967","96965","98967","1.99","","95438.3","95673.06","69.36","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","bitcoin","99037","99401","98684","99101","0.06","","95677","95769.96","69.88","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","bitcoin","99109","99869","99109","99532","0.43","","95948.15","95860.1","71.54","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-08","bitcoin","99573","101784","99239","101784","2.22","","96301.25","96003.86","78.27","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-08","bitcoin","100503","101533","100503","101162","0.66","","96656.3","96123.86","73.13","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-07","bitcoin","94985","96855","94544","96855","1.97","","94984.7","95382.08","62.52","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96816","97512","96323","96512","-0.31","","94992.35","95414.76","59.6","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96497","96913","96355","96913","0.43","","95041.85","95452.4","61.84","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96937","97069","96883","97017","0.08","","95100.6","95497.04","62.43","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","97007","97387","96738","96930","-0.08","","95153.65","95536.72","61.58","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96941","96941","95967","96219","-0.74","","95192.8","95558.72","55","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","94381","95111","94026","94759","0.4","","95477.55","95318.16","46.05","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-06","bitcoin","94756","94833","94115","94460","-0.31","","95356.5","95318.64","43.69","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-06","bitcoin","94409","94560","94342","94403","-0.01","","95233.85","95330.52","43.24","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","94408","94408","93768","93768","-0.68","","95100.7","95328.76","38.44","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","93791","94649","93592","94551","0.81","","95010.3","95325.26","46.34","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","94551","95104","94308","95010","0.49","","94961.6","95319.36","50.36","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","bitcoin","95579","95742","94264","94327","-1.31","","96242.8","95306.78","36.8","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94302","94737","93806","94109","-0.2","","96116.75","95303.52","35.31","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94082","94728","94082","94722","0.68","","96031.5","95305.08","42.37","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94737","94737","93977","94061","-0.71","","95875.2","95301.54","37.6","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94089","94365","93704","93727","-0.38","","95737.75","95293.44","35.44","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","93725","94839","93725","94430","0.75","","95609.75","95301.8","42.9","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","96382","96410","95923","95923","-0.48","","96180.1","95215.02","50.49","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95893","96255","95732","95842","-0.05","","96269.6","95228.22","49.75","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95812","96112","95780","95869","0.06","","96351.25","95250.14","50.01","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95875","95923","95416","95436","-0.46","","96384.45","95262.86","45.88","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95428","95657","95324","95509","0.08","","96407.2","95278.76","46.68","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95518","95622","95326","95574","0.06","","96376.6","95307.94","47.42","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-03","bitcoin","96984","97124","96665","96856","-0.13","","95728","94948.48","59.27","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-03","bitcoin","96901","96933","96393","96431","-0.49","","95781.95","95004.2","55.58","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-03","bitcoin","96399","96596","96217","96359","-0.04","","95887.1","95053.92","54.96","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-03","bitcoin","96341","96402","95964","95984","-0.37","","95935.05","95106.16","51.7","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-03","bitcoin","95971","96493","95944","96393","0.44","","96024.9","95159.32","54.84","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-03","bitcoin","96425","96425","96026","96359","-0.07","","96084.75","95198.9","54.53","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-02","bitcoin","96464","96802","96298","96427","-0.04","","95122.5","94472.36","61.23","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-02","bitcoin","96465","97205","96465","97187","0.75","","95237.95","94545.86","65.23","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-02","bitcoin","97169","97217","96476","96476","-0.71","","95310.2","94603.28","59.09","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-02","bitcoin","96414","97051","96414","96990","0.6","","95420.45","94686","61.88","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-02","bitcoin","96956","97822","96856","97403","0.46","","95543.3","94790.18","64.01","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-02","bitcoin","97418","97757","96858","96881","-0.55","","95631.4","94877","59.49","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-01","bitcoin","94142","94675","94099","94236","0.1","","94611.45","94112.9","49.51","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-01","bitcoin","94191","94927","94185","94772","0.62","","94628.25","94180.44","53.44","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-01","bitcoin","94787","95131","94772","95054","0.28","","94690.5","94210","55.41","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-01","bitcoin","95055","96245","94968","96186","1.19","","94807","94271.68","62.31","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-01","bitcoin","96202","97212","95926","97003","0.83","","94920.85","94335.38","66.35","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-01","bitcoin","96969","97341","96534","96630","-0.35","","94987.1","94398.9","63.03","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-30","bitcoin","95345","95366","93881","94256","-1.14","","94519.05","93385.02","50.44","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-30","bitcoin","94275","95025","94217","95025","0.8","","94556.7","93538.7","55.87","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-30","bitcoin","95022","95066","94591","94596","-0.45","","94554.3","93681.58","52.42","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-30","bitcoin","94613","95162","94601","95162","0.58","","94600.5","93821.7","56.26","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-30","bitcoin","95193","95193","93334","94016","-1.24","","94594.7","93934.38","47.84","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-30","bitcoin","94011","94349","93727","94052","0.04","","94596.7","94042.64","48.11","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-29","bitcoin","94724","95141","94375","95031","0.32","","94448.4","92386","59.02","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-29","bitcoin","95023","95264","94548","94785","-0.25","","94428.55","92589.04","56.94","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-29","bitcoin","94712","94946","94277","94946","0.25","","94437.2","92786.5","57.99","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-29","bitcoin","94961","95228","94819","95119","0.17","","94453.15","92943.64","59.13","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-29","bitcoin","95139","95158","94737","94924","-0.23","","94463.65","93092.58","57.24","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-29","bitcoin","94884","95444","94882","95352","0.49","","94525.5","93260.98","60.25","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-28","bitcoin","94438","94493","93766","93809","-0.67","","94278.75","91206.2","54.32","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-28","bitcoin","93802","93883","92953","93856","0.06","","94289.3","91381.68","54.74","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-28","bitcoin","93899","94753","93899","94726","0.88","","94331.95","91573.66","61.74","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-28","bitcoin","94720","95491","94547","95305","0.62","","94428.6","91777.22","65.55","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-28","bitcoin","95315","95472","93717","93719","-1.67","","94427.8","91955.9","50.65","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-28","bitcoin","93767","94881","93589","94878","1.18","","94452.7","92172.52","58.14","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-27","bitcoin","94293","94815","94173","94644","0.37","","93949.7","90102.22","64.96","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-27","bitcoin","94666","95115","94238","94238","-0.45","","93986","90296.78","60.57","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-27","bitcoin","94209","94291","93879","94132","-0.08","","94012.35","90490.74","59.44","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-27","bitcoin","94100","94293","93952","94012","-0.09","","94070.25","90673.48","58.11","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-27","bitcoin","93980","94110","93781","93941","-0.04","","94157.6","90848.54","57.3","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-27","bitcoin","93932","94436","93843","94436","0.54","","94252.4","91033.66","61.36","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-26","bitcoin","95312","95323","94682","94773","-0.57","","93508.15","88926.02","69.23","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-26","bitcoin","94739","95195","94681","94800","0.06","","93678.4","89126.52","69.35","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-26","bitcoin","94791","94836","94574","94714","-0.08","","93735.3","89322.18","68.43","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-26","bitcoin","94687","94687","94100","94115","-0.6","","93785.95","89508.1","62.26","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-26","bitcoin","94190","94385","94033","94385","0.21","","93814.3","89703.34","63.84","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-26","bitcoin","94400","94400","94180","94272","-0.14","","93855.2","89896.9","62.66","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-25","bitcoin","93647","93916","93266","93873","0.24","","91714.85","87719.6","70.52","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-25","bitcoin","93946","94182","93056","93372","-0.61","","92016.4","87901.08","66.1","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-25","bitcoin","93340","93735","93109","93735","0.42","","92330.55","88093.66","67.68","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-25","bitcoin","93769","94380","93642","94380","0.65","","92641.75","88301.48","70.33","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-25","bitcoin","94521","95564","94367","95117","0.63","","92978.5","88510.32","73.04","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-25","bitcoin","95132","95540","94609","95182","0.05","","93305.65","88721.24","73.28","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-24","bitcoin","93534","93869","93379","93605","0.08","","89767","86626.62","75.44","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-24","bitcoin","93693","93693","92854","92854","-0.9","","90178.05","86802.34","69.03","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-24","bitcoin","92775","92850","92194","92194","-0.63","","90534.1","86973.1","63.89","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-24","bitcoin","92216","92612","91810","92540","0.35","","90798","87150","65.35","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-24","bitcoin","92619","93344","92511","93282","0.72","","91088.25","87347.8","68.3","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-24","bitcoin","93264","93645","92859","93645","0.41","","91423.9","87540.36","69.66","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-23","bitcoin","91480","93702","91153","93576","2.29","","87181","85634.5","85.12","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-23","bitcoin","93518","93731","92747","93102","-0.44","","87582","85798.72","80.82","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-23","bitcoin","93161","93818","93103","93818","0.71","","88016.55","85984.62","82.28","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-23","bitcoin","93952","94320","93454","93454","-0.53","","88432.9","86148.42","78.99","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-23","bitcoin","93491","94020","92079","92754","-0.79","","88831.35","86290.58","72.97","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-23","bitcoin","93025","94122","93025","93512","0.52","","89304.6","86450.82","75.18","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-22","bitcoin","87353","87452","87031","87452","0.11","","85605.9","84926.26","65.49","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-22","bitcoin","87501","88533","87366","88156","0.75","","85788.2","85012.22","69.11","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-22","bitcoin","88207","88385","88030","88382","0.2","","85985.6","85107.84","70.19","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-22","bitcoin","88439","88639","88368","88639","0.23","","86173.8","85190.54","71.42","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-22","bitcoin","88616","91268","88597","90723","2.38","","86450.55","85314.52","78.97","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-22","bitcoin","90841","91684","90748","91395","0.61","","86761.3","85445.12","80.74","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-21","bitcoin","84683","85144","84683","85073","0.46","","84786","84602.38","56.7","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-21","bitcoin","85140","87466","85140","87262","2.49","","84910.35","84649.82","72.57","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-21","bitcoin","87229","87570","87152","87477","0.28","","85037.65","84693.26","73.59","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-21","bitcoin","87446","87638","86804","86932","-0.59","","85143.3","84721.7","66.79","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-21","bitcoin","86951","88260","86925","88054","1.27","","85314.85","84793.2","72.44","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-04-21","bitcoin","88055","88139","86665","87341","-0.81","","85452.2","84852.64","64.88","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-20","bitcoin","85082","85320","85070","85127","0.05","","84696.8","84493.42","59.43","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-20","bitcoin","85089","85283","85071","85127","0.04","","84738.25","84519.54","59.43","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-20","bitcoin","85144","85220","84718","84785","-0.42","","84772.2","84546.46","53.44","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-20","bitcoin","84777","84777","84038","84047","-0.86","","84775.1","84567.12","43.29","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-20","bitcoin","84094","84613","84094","84357","0.31","","84759.2","84579.5","47.77","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-20","bitcoin","84336","84633","84336","84633","0.35","","84759.05","84602","51.46","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-19","bitcoin","84530","84614","84379","84434","-0.11","","84352.05","83995.74","53.19","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-19","bitcoin","84448","84919","84378","84875","0.51","","84392.4","84102.14","57.71","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-19","bitcoin","84873","85202","84873","85188","0.37","","84469","84213.98","60.61","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-19","bitcoin","85189","85398","85143","85180","-0.01","","84543.25","84303.44","60.5","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-19","bitcoin","85196","85470","85182","85182","-0.02","","84632.75","84380.4","60.52","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-19","bitcoin","85217","85266","84872","85082","-0.16","","84686","84440.4","58.91","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-18","bitcoin","84851","85112","84803","84931","0.09","","84516.1","83631.5","58.78","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-18","bitcoin","84940","85026","84766","84819","-0.14","","84512.5","83681.32","57.61","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-18","bitcoin","84802","84802","84517","84623","-0.21","","84517.5","83721.34","55.53","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-18","bitcoin","84641","84729","84499","84594","-0.06","","84484","83779.66","55.21","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-18","bitcoin","84656","84697","84378","84378","-0.33","","84420.6","83832.28","52.8","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-18","bitcoin","84366","84613","84366","84510","0.17","","84371.1","83887.04","54.12","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-17","bitcoin","84336","84593","84106","84106","-0.27","","84412.05","N/A","53.65","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-17","bitcoin","84059","84410","83900","83989","-0.08","","84418.6","N/A","52.78","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-17","bitcoin","83999","84902","83920","84675","0.8","","84472.3","N/A","57.19","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-17","bitcoin","84657","84711","84288","84636","-0.02","","84478.9","N/A","56.86","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-17","bitcoin","84617","84791","83915","84534","-0.1","","84479.4","83304.86","55.97","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-17","bitcoin","84521","85377","84521","84775","0.3","","84474.9","83477.76","57.67","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-04-16","bitcoin","83987","84155","83656","83656","-0.39","","84607.3","N/A","52.29","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-16","bitcoin","83642","83907","83266","83695","0.06","","84547.55","N/A","52.53","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-16","bitcoin","83691","83728","83331","83392","-0.36","","84451.9","N/A","50.4","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-16","bitcoin","83353","84045","83219","84017","0.8","","84377.25","N/A","54.5","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-16","bitcoin","84031","85042","83691","84911","1.05","","84398.85","N/A","59.63","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-16","bitcoin","84881","85312","83593","84298","-0.69","","84395.3","N/A","55.04","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-15","bitcoin","84917","84921","84515","84523","-0.46","","84288.55","N/A","62.31","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-15","bitcoin","84590","85332","84460","85264","0.8","","84360.7","N/A","65.43","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-15","bitcoin","85349","85765","85208","85646","0.35","","84471.05","N/A","66.95","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-15","bitcoin","85718","85917","85477","85500","-0.25","","84595.35","N/A","65.76","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-15","bitcoin","85568","86186","84815","84815","-0.88","","84649.2","N/A","60.35","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-15","bitcoin","84872","85008","84001","84068","-0.95","","84677.2","N/A","55.03","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-14","bitcoin","83916","84234","83197","83601","-0.38","","83205.35","N/A","62.62","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-14","bitcoin","83637","85315","83637","84504","1.04","","83452.8","N/A","66.04","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-14","bitcoin","84520","84986","84361","84524","0","","83699.2","N/A","66.12","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-14","bitcoin","84556","84865","84344","84865","0.37","","83907.1","N/A","67.42","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-14","bitcoin","84906","85668","84051","84107","-0.94","","84045.75","N/A","61.73","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-14","bitcoin","84158","85119","84095","84891","0.87","","84186.2","N/A","65.02","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-13","bitcoin","84904","85630","84904","85305","0.47","","82383.25","N/A","74.62","RSI Overbought (>70); Trend N/A (SMA50 missing)"
"2025-04-13","bitcoin","85297","85732","84919","85510","0.25","","82542.35","N/A","75.07","RSI Overbought (>70); Trend N/A (SMA50 missing)"
"2025-04-13","bitcoin","85422","85422","84462","84479","-1.1","","82635.2","N/A","68.46","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-13","bitcoin","84457","84881","84312","84369","-0.1","","82769.75","N/A","67.78","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-13","bitcoin","84447","84543","83649","83771","-0.8","","82870.95","N/A","64.02","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-13","bitcoin","83805","84804","83601","83858","0.06","","82975.25","N/A","64.33","RSI Neutral; Trend N/A (SMA50 missing)"
"2025-04-12","bitcoin","83820","84056","83199","83439","-0.45","","N/A","N/A","73.43","RSI Overbought (>70)"
"2025-04-12","bitcoin","83438","83438","82862","83014","-0.51","","N/A","N/A","71.17","RSI Overbought (>70)"
"2025-04-12","bitcoin","82962","83738","82879","83738","0.94","","N/A","N/A","72.71","RSI Overbought (>70)"
"2025-04-12","bitcoin","83705","83897","83355","83508","-0.24","","N/A","N/A","71.4","RSI Overbought (>70)"
"2025-04-12","bitcoin","83503","85207","83502","85054","1.86","","81542.2","N/A","74.69","RSI Overbought (>70); Trend N/A (SMA50 missing)"
"2025-04-12","bitcoin","85009","85111","84479","84890","-0.14","","81980.2","N/A","73.72","RSI Overbought (>70); Trend N/A (SMA50 missing)"
"2025-04-11","bitcoin","79725","79922","79495","79596","-0.16","","N/A","N/A","N/A","N/A"
"2025-04-11","bitcoin","79556","80707","79086","80707","1.45","","N/A","N/A","N/A","N/A"
"2025-04-11","bitcoin","80758","81334","80578","81334","0.71","","N/A","N/A","N/A","N/A"
"2025-04-11","bitcoin","81251","82745","81124","82082","1.02","","N/A","N/A","N/A","N/A"
"2025-04-11","bitcoin","82096","83000","81675","82476","0.46","","N/A","N/A","N/A","N/A"
"2025-04-11","bitcoin","82480","83969","82172","83821","1.63","","N/A","N/A","75.42","RSI Overbought (>70)"
"2025-04-10","bitcoin","82304","83425","82102","82622","0.39","","N/A","N/A","N/A","N/A"
"2025-04-10","bitcoin","82595","82595","81553","81678","-1.11","","N/A","N/A","N/A","N/A"
"2025-04-10","bitcoin","81706","82218","81677","81747","0.05","","N/A","N/A","N/A","N/A"
"2025-04-10","bitcoin","81678","82001","81435","81772","0.12","","N/A","N/A","N/A","N/A"
"2025-04-10","bitcoin","81793","81940","78999","78999","-3.42","","N/A","N/A","N/A","N/A"
"2025-04-10","bitcoin","78836","79630","78669","79555","0.91","","N/A","N/A","N/A","N/A"
"2025-04-09","bitcoin","77711","77711","75962","76130","-2.03","","N/A","N/A","N/A","N/A"
"2025-04-09","bitcoin","76146","77860","76146","77244","1.44","","N/A","N/A","N/A","N/A"
"2025-04-09","bitcoin","77142","82665","77142","82328","6.72","Potential Buy Signal","N/A","N/A","N/A","N/A"